DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0059-CUB,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,'Migrants',CUB,Cuba,Latin America and the Caribbean,Americas,,,,No,No,No,,,,,,,2023,1,27,2023,1,27,17,,,,,,,,,,,100,,2023-02-06,2023-09-26
2023-0060-PER,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PER,Peru,Latin America and the Caribbean,Americas,Piura region,,,No,No,No,,,,,,,2023,1,28,2023,1,28,25,,,,,,,,,,,100,,2023-02-06,2023-09-26
2023-0061-PAK,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PAK,Pakistan,Southern Asia,Asia,Asia,,,No,No,No,,,,,,,2023,1,29,2023,1,29,41,,,,,,,,,,,100,,2023-02-06,2023-09-26
2023-0062-TCD,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,TCD,Chad,Sub-Saharan Africa,Africa,Near Oum-Hadjer,,,No,No,No,,,,,,,2023,1,27,2023,1,27,20,7,,,7,,,,,,,100,,2023-02-06,2023-09-26
2023-0063-JPN,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Cargo 'Jin Tian',JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,,,,,2023,1,24,2023,1,25,10,,14,,14,,,,,,,100,,2023-02-06,2023-09-26
2023-0064-IND,No,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,Building,IND,India,Southern Asia,Asia,Lucknow (Uttar Pradesh),Earthquake,,No,No,No,,,,,,,2023,1,24,2023,1,24,33,,,,,,,,,,,100,,2023-02-06,2023-09-26
2023-0065-CHN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,CHN,China,Eastern Asia,Asia,Hunan province,,,No,No,No,,,,,,,2023,2,4,2023,2,4,16,66,,,66,,,,,,,100,,2023-02-06,2023-09-26
2023-0066-PER,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,PER,Peru,Latin America and the Caribbean,Americas,Camaná Province (Arequipa Department),Heavy rains,Flood,No,No,Yes,,,,,,,2023,2,5,2023,2,7,38,27,6300,,6327,,,,,,,100,"[{""adm2_code"":24040,""adm2_name"":""Camaná""}]",2023-02-07,2023-09-26
2023-0068-ZMB,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,GLIDE:EP-2023-000013,Cholera,ZMB,Zambia,Sub-Saharan Africa,Africa,"Chikoma, Mbande, Mzigawa, Chipanji, Mlawe, Eastern, Luapula, Lusaka, Southern",,,No,No,No,,,,,,,2023,1,21,2023,1,30,2,118,,,118,,,,,,,100,,2023-02-07,2023-09-26
2023-0069-GNB,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,GNB,Guinea-Bissau,Sub-Saharan Africa,Africa,Menegue,,,No,No,No,,,,,,,2023,1,14,2023,1,14,,,2065,,2065,,,,,,,100,,2023-02-07,2023-09-26
2023-0073-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Papua,,Collapse,No,No,No,,5.1,Moment Magnitude,,,,2023,2,9,2023,2,9,4,,2136,,2136,,,,,,,100,,2023-02-09,2025-03-18
2023-0074-BFA,No,tec-ind-col-col,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),,Gold mine,BFA,Burkina Faso,Sub-Saharan Africa,Africa,Dohoun,,,No,No,No,,,m3,,,,2023,2,9,2023,2,9,10,,,,,,,,,,,100,,2023-02-09,2023-09-26
